ФИО,ФИО,ФИО,Специальность,Отделение,Email,НомерТелефона
Лебедев,Андрей,Иванович,Кардиолог,Онкология,андрей.лебедева@mail.ru,7277807170
Волкова,Мария,Михайловна,Гастроэнтеролог,Терапия,мария.волков@gmaill.com,7162523601
Лебедева,Мария,Александровна,Гастроэнтеролог,Онкология,мария.лебедева@hospital.ru,7836659071
Соколова,Мария,,Хирург-онколог,Психиатрия,мария.соколова@mail.ru,7884795922
Орлов,Дмитрий,Дмитриевич,Невролог,Эндокринология,дмитрий.орлова@health-center.info,7155903890
Кузнецова,Ольга,Андреевна,Эндокринолог,Офтальмология,ольга.кузнецова@mail.ru,7551940834
Новикова,Ольга,Дмитриевна,Невролог,Неврология,ольга.новикова@mail.ru,7764584664
Новиков,Алексей,Дмитриевич,Невролог,Неврология,алексей.новикова@mail.ru,7011223950
Орлова,Елена,,Кардиолог,Педиатрия,елена.орлова@medmail.com,7537402223
Кузнецова,Елена,Сергеевна,Терапевт,Кардиология,елена.кузнецова@clinic.org,7666533519
Новиков,Дмитрий,Сергеевич,Эндокринолог,Кардиология,дмитрий.новикова@mail.ru,7306846420
Лебедева,Ольга,Михайловна,Эндокринолог,Кардиология,ольга.лебедева@medmail.com,7009588440
Соколов,Андрей,Сергеевич,Гастроэнтеролог,Неврология,андрей.соколова@clinic.org,7333562507
Петрова,Татьяна,Александровна,Терапевт,Офтальмология,татьяна.петров@mail.ru,7191419921
Лебедева,Ольга,Дмитриевна,Невролог,Неврология,ольга.лебедева@mail.ru,7619058916
Смирнов,Дмитрий,Петрович,Кардиолог,Неврология,дмитрий.смирнова@mail.ru,7595526759
Смирнов,Алексей,Петрович,Хирург,Психиатрия,алексей.смирнова@mail.ru,7885017550
Петрова,Татьяна,Петровна,Хирург-онколог,Офтальмология,татьяна.петров@clinic.org,7448073200
Соколова,Татьяна,Петровна,Педиатр,Эндокринология,татьяна.соколова@clinic.org,7893901969
Петров,Сергей,Михайлович,Невролог,Хирургия,сергей.петров@health-center.info,7719584004
