ФИО,,,Пол,Город,Улица,Строение,Почта,Дата рождения,Номер Телефона
Петров,Александр,Иванович,м,Вологда,Дальняя,1,Петров.Александр.Иванович@mail.ru,01.01.2001,70144666967
Петрова,Юлия,Петровна,м,Москва,пр-кт Победы,1234/2,Петров.Юлия.Петрович@mail.ru,12.01.1999,71577248738
Попова,Юлия,Александровна,м,Москва,Польская,1,Попов.Юлия.Александрович@mail.ru,25.02.2025,72765950496
Иванов,Иван,,м,Сокол,Польская,1234/2,Иванов.Иван.@mail.ru,25.02.2025,72116197035
Иванов,Александр,Александрович,ж,Москва,пр-кт Победы,1,Иванов.Александр.Александрович@mail.ru,13.05.22,72954636388
Чижов,Иван,Александрович,ж,Сокол,Дальняя,11Б,Чижов.Иван.Александрович@gmail.com,27.02.00,71406731241
Попов,Иван,,м,Москва,Дальняя,1234/2,Попов.Иван.@gmail.com,01.01.2001,76228931466
Петрова,Юлия,,м,Москва,пр-кт Победы,2 к. 2,Петров.Юлия.@mail.ru,01.01.2001,79120070787
Еретяков,Иван,Александрович,м,Сокол,пр-кт Победы,1,Еретяков.Иван.Александрович@mail.ru,12.01.1999,72370272688
Попова,Юлия,Ивановна,м,Москва,Польская,1,Попов.Юлия.Иванович@gmail.com,25.02.2025,77615645824
Петрова,Анастасия,Александровна,м,Вологда,пр-кт Победы,11Б,Петров.Анастасия.Александрович@mail.ru,27.02.00,76046664008
Еретяков,Иван,Александрович,ж,Сокол,пр-кт Победы,11Б,Еретяков.Иван.Александрович@mail.ru,25.02.2025,76476344063
Еретякова,Юлия,Петровна,м,Сокол,Дальняя,11Б,Еретяков.Юлия.Петрович@gmail.com,25.02.2025,70456351821
Попова,Юлия,Петровна,м,Москва,пр-кт Победы,1234/2,Попов.Юлия.Петрович@gmail.com,13.05.22,75393050390
Иванов,Пётр,Иванович,м,Вологда,Польская,11Б,Иванов.Пётр.Иванович@mail.ru,01.01.2001,73542020621
Попов,Иван,Иванович,м,Вологда,Дальняя,1234/2,Попов.Иван.Иванович@gmail.com,25.02.2025,79178776718
Петрова,Юлия,Петровна,ж,Сокол,Польская,2 к. 2,Петров.Юлия.Петрович@gmail.com,25.02.2025,75313457311
Попова,Юлия,Алексеевна,м,Сокол,Польская,2 к. 2,Попов.Юлия.Алексеевич@mail.ru,27.02.00,77063026143
Попов,Пётр,Александрович,ж,Сокол,пр-кт Победы,1234/2,Попов.Пётр.Александрович@gmail.com,13.05.22,74486712470
Петров,Александр,Александрович,м,Сокол,Дальняя,1,Петров.Александр.Александрович@mail.ru,12.01.1999,72454999449
